IP;Port;Country;Organization;Title;Version
###;8069;Morocco;#####;Odoo;14.0
###;8014;Morocco;#####;Odoo;14.0
###;80;Senegal;#####;Odoo;15.0
###;2200;Guinea;#####;Odoo;15.0
###;8069;Algeria;#####;Odoo;15.0
###;8069;Algeria;#####;Odoo;15.0
###;8098;Algeria;#####;Odoo;15.0
###;8069;Algeria;#####;Odoo;15.0
###;1969;Algeria;#####;Odoo;15.0
###;8072;Algeria;#####;Odoo;15.0
###;8072;Algeria;#####;Odoo;15.0
###;8069;Côte d'Ivoire;#####;Odoo;15.0
###;8090;Côte d'Ivoire;#####;Odoo;15.0
###;8075;Côte d'Ivoire;#####;Odoo;15.0
###;8069;Côte d'Ivoire;#####;Odoo;15.0
###;8069;Ghana;#####;Odoo;15.0
###;2063;Libya;#####;Odoo;15.0
###;7016;Libya;#####;Odoo;15.0
###;9167;Libya;#####;Odoo;15.0
###;1024;Libya;#####;Odoo;15.0
###;16042;Libya;#####;Odoo;15.0
###;11688;Libya;#####;Odoo;15.0
###;1976;Libya;#####;Odoo;15.0
###;8605;Libya;#####;Odoo;15.0
###;5998;Libya;#####;Odoo;15.0
###;10013;Libya;#####;Odoo;15.0
###;52200;Libya;#####;Odoo;15.0
###;8069;Libya;#####;Odoo;15.0
###;52311;Libya;#####;Odoo;15.0
###;10909;Libya;#####;Odoo;15.0
###;6581;Libya;#####;Odoo;15.0
###;3168;Libya;#####;Odoo;15.0
###;9205;Libya;#####;Odoo;15.0
###;12555;Libya;#####;Odoo;15.0
###;8023;Libya;#####;Odoo;15.0
###;9120;Libya;#####;Odoo;15.0
###;30013;Libya;#####;Odoo;15.0
###;8090;Libya;#####;Odoo;15.0
###;7547;Libya;#####;Odoo;15.0
###;995;Libya;#####;Odoo;15.0
###;3175;Libya;#####;Odoo;15.0
###;3148;Libya;#####;Odoo;15.0
###;8163;Libya;#####;Odoo;15.0
###;685;Libya;#####;Odoo;15.0
###;50004;Libya;#####;Odoo;15.0
###;6633;Libya;#####;Odoo;15.0
###;5357;Libya;#####;Odoo;15.0
###;5259;Libya;#####;Odoo;15.0
###;9383;Libya;#####;Odoo;15.0
###;44341;Libya;#####;Odoo;15.0
###;9037;Libya;#####;Odoo;15.0
###;8001;Libya;#####;Odoo;15.0
###;8871;Libya;#####;Odoo;15.0
###;4848;Libya;#####;Odoo;15.0
###;221;Libya;#####;Odoo;15.0
###;9191;Libya;#####;Odoo;15.0
###;12199;Libya;#####;Odoo;15.0
###;3345;Libya;#####;Odoo;15.0
###;548;Libya;#####;Odoo;15.0
###;10080;Libya;#####;Odoo;15.0
###;5242;Libya;#####;Odoo;15.0
###;42424;Libya;#####;Odoo;15.0
###;8069;Libya;#####;Odoo;15.0
###;5601;Libya;#####;Odoo;15.0
###;8440;Libya;#####;Odoo;15.0
###;63443;Libya;#####;Odoo;15.0
###;110;Libya;#####;Odoo;15.0
###;12525;Libya;#####;Odoo;15.0
###;18057;Libya;#####;Odoo;15.0
###;8185;Libya;#####;Odoo;15.0
###;7887;Libya;#####;Odoo;15.0
###;8010;Libya;#####;Odoo;15.0
###;3132;Libya;#####;Odoo;15.0
###;2404;Libya;#####;Odoo;15.0
###;44399;Libya;#####;Odoo;15.0
###;57788;Libya;#####;Odoo;15.0
###;9869;Libya;#####;Odoo;15.0
###;16404;Libya;#####;Odoo;15.0
###;179;Libya;#####;Odoo;15.0
###;8112;Libya;#####;Odoo;15.0
###;12547;Libya;#####;Odoo;15.0
###;31001;Libya;#####;Odoo;15.0
###;12295;Libya;#####;Odoo;15.0
###;5022;Libya;#####;Odoo;15.0
###;9800;Libya;#####;Odoo;15.0
###;9872;Libya;#####;Odoo;15.0
###;55555;Libya;#####;Odoo;15.0
###;32400;Libya;#####;Odoo;15.0
###;8493;Libya;#####;Odoo;15.0
###;4343;Libya;#####;Odoo;15.0
###;6664;Libya;#####;Odoo;15.0
###;3004;Libya;#####;Odoo;15.0
###;7989;Libya;#####;Odoo;15.0
###;10348;Libya;#####;Odoo;15.0
###;1200;Libya;#####;Odoo;15.0
###;2599;Libya;#####;Odoo;15.0
###;8788;Libya;#####;Odoo;15.0
###;3689;Libya;#####;Odoo;15.0
###;18081;Libya;#####;Odoo;15.0
###;9092;Libya;#####;Odoo;15.0
###;5560;Libya;#####;Odoo;15.0
###;20900;Libya;#####;Odoo;15.0
###;9154;Libya;#####;Odoo;15.0
###;13380;Libya;#####;Odoo;15.0
###;15002;Libya;#####;Odoo;15.0
###;5051;Libya;#####;Odoo;15.0
###;3443;Libya;#####;Odoo;15.0
###;5122;Libya;#####;Odoo;15.0
###;17772;Libya;#####;Odoo;15.0
###;8888;Libya;#####;Odoo;15.0
###;5254;Libya;#####;Odoo;15.0
###;8637;Libya;#####;Odoo;15.0
###;2709;Libya;#####;Odoo;15.0
###;45821;Libya;#####;Odoo;15.0
###;50997;Libya;#####;Odoo;15.0
###;8060;Libya;#####;Odoo;15.0
###;3301;Libya;#####;Odoo;15.0
###;12084;Libya;#####;Odoo;15.0
###;6005;Libya;#####;Odoo;15.0
###;12184;Libya;#####;Odoo;15.0
###;4165;Libya;#####;Odoo;15.0
###;3402;Libya;#####;Odoo;15.0
###;1741;Libya;#####;Odoo;15.0
###;12308;Libya;#####;Odoo;15.0
###;18014;Libya;#####;Odoo;15.0
###;2222;Libya;#####;Odoo;15.0
###;12413;Libya;#####;Odoo;15.0
###;16024;Libya;#####;Odoo;15.0
###;9089;Libya;#####;Odoo;15.0
###;8643;Libya;#####;Odoo;15.0
###;442;Libya;#####;Odoo;15.0
###;44510;Libya;#####;Odoo;15.0
###;12548;Libya;#####;Odoo;15.0
###;2375;Libya;#####;Odoo;15.0
###;43009;Libya;#####;Odoo;15.0
###;8790;Libya;#####;Odoo;15.0
###;12113;Libya;#####;Odoo;15.0
###;8732;Libya;#####;Odoo;15.0
###;28015;Libya;#####;Odoo;15.0
###;19071;Libya;#####;Odoo;15.0
###;12124;Libya;#####;Odoo;15.0
###;21282;Libya;#####;Odoo;15.0
###;4550;Libya;#####;Odoo;15.0
###;993;Libya;#####;Odoo;15.0
###;22380;Libya;#####;Odoo;15.0
###;10048;Libya;#####;Odoo;15.0
###;5500;Libya;#####;Odoo;15.0
###;21283;Libya;#####;Odoo;15.0
###;50006;Libya;#####;Odoo;15.0
###;51106;Libya;#####;Odoo;15.0
###;51005;Libya;#####;Odoo;15.0
###;12483;Libya;#####;Odoo;15.0
###;26;Libya;#####;Odoo;15.0
###;5256;Libya;#####;Odoo;15.0
###;646;Libya;#####;Odoo;15.0
###;7779;Libya;#####;Odoo;15.0
###;7657;Libya;#####;Odoo;15.0
###;3152;Libya;#####;Odoo;15.0
###;8876;Libya;#####;Odoo;15.0
###;8578;Libya;#####;Odoo;15.0
###;4023;Libya;#####;Odoo;15.0
###;8444;Libya;#####;Odoo;15.0
###;3069;Libya;#####;Odoo;15.0
###;18061;Libya;#####;Odoo;15.0
###;21238;Libya;#####;Odoo;15.0
###;9134;Libya;#####;Odoo;15.0
###;2566;Libya;#####;Odoo;15.0
###;7020;Libya;#####;Odoo;15.0
###;8816;Libya;#####;Odoo;15.0
###;10066;Libya;#####;Odoo;15.0
###;9247;Libya;#####;Odoo;15.0
###;8334;Libya;#####;Odoo;15.0
###;4899;Libya;#####;Odoo;15.0
###;21;Libya;#####;Odoo;15.0
###;5985;Libya;#####;Odoo;15.0
###;30700;Libya;#####;Odoo;15.0
###;12108;Libya;#####;Odoo;15.0
###;50050;Libya;#####;Odoo;15.0
###;990;Libya;#####;Odoo;15.0
###;28017;Libya;#####;Odoo;15.0
###;2806;Libya;#####;Odoo;15.0
###;45000;Libya;#####;Odoo;15.0
###;8575;Libya;#####;Odoo;15.0
###;10043;Libya;#####;Odoo;15.0
###;1443;Libya;#####;Odoo;15.0
###;3541;Libya;#####;Odoo;15.0
###;12585;Libya;#####;Odoo;15.0
###;8197;Libya;#####;Odoo;15.0
###;16018;Libya;#####;Odoo;15.0
###;9044;Libya;#####;Odoo;15.0
###;52869;Libya;#####;Odoo;15.0
###;10225;Libya;#####;Odoo;15.0
###;3142;Libya;#####;Odoo;15.0
###;1400;Libya;#####;Odoo;15.0
###;25565;Libya;#####;Odoo;15.0
###;60000;Libya;#####;Odoo;15.0
###;4300;Libya;#####;Odoo;15.0
###;12372;Libya;#####;Odoo;15.0
###;12254;Libya;#####;Odoo;15.0
###;9201;Libya;#####;Odoo;15.0
###;20440;Libya;#####;Odoo;15.0
###;2569;Libya;#####;Odoo;15.0
###;25105;Libya;#####;Odoo;15.0
###;45886;Libya;#####;Odoo;15.0
###;9098;Libya;#####;Odoo;15.0
###;12228;Libya;#####;Odoo;15.0
###;9033;Libya;#####;Odoo;15.0
###;13228;Libya;#####;Odoo;15.0
###;12471;Libya;#####;Odoo;15.0
###;8545;Libya;#####;Odoo;15.0
###;1959;Libya;#####;Odoo;15.0
###;9175;Libya;#####;Odoo;15.0
###;41800;Libya;#####;Odoo;15.0
###;9313;Libya;#####;Odoo;15.0
###;8883;Libya;#####;Odoo;15.0
###;1167;Libya;#####;Odoo;15.0
###;49153;Libya;#####;Odoo;15.0
###;8136;Libya;#####;Odoo;15.0
###;16007;Libya;#####;Odoo;15.0
###;5255;Libya;#####;Odoo;15.0
###;18037;Libya;#####;Odoo;15.0
###;225;Libya;#####;Odoo;15.0
###;18052;Libya;#####;Odoo;15.0
###;1456;Libya;#####;Odoo;15.0
###;37215;Libya;#####;Odoo;15.0
###;10090;Libya;#####;Odoo;15.0
###;2552;Libya;#####;Odoo;15.0
###;541;Libya;#####;Odoo;15.0
###;16099;Libya;#####;Odoo;15.0
###;3185;Libya;#####;Odoo;15.0
###;2353;Libya;#####;Odoo;15.0
###;21313;Libya;#####;Odoo;15.0
###;14330;Libya;#####;Odoo;15.0
###;50070;Libya;#####;Odoo;15.0
###;1925;Libya;#####;Odoo;15.0
###;16095;Libya;#####;Odoo;15.0
###;13780;Libya;#####;Odoo;15.0
###;2031;Libya;#####;Odoo;15.0
###;3103;Libya;#####;Odoo;15.0
###;8731;Libya;#####;Odoo;15.0
###;9918;Libya;#####;Odoo;15.0
###;12000;Libya;#####;Odoo;15.0
###;19084;Libya;#####;Odoo;15.0
###;8411;Libya;#####;Odoo;15.0
###;3559;Libya;#####;Odoo;15.0
###;8002;Libya;#####;Odoo;15.0
###;36983;Libya;#####;Odoo;15.0
###;9455;Libya;#####;Odoo;15.0
###;3311;Libya;#####;Odoo;15.0
###;8042;Libya;#####;Odoo;15.0
###;8543;Libya;#####;Odoo;15.0
###;52951;Libya;#####;Odoo;15.0
###;21269;Libya;#####;Odoo;15.0
###;9292;Libya;#####;Odoo;15.0
###;831;Libya;#####;Odoo;15.0
###;992;Libya;#####;Odoo;15.0
###;15151;Libya;#####;Odoo;15.0
###;9797;Libya;#####;Odoo;15.0
###;51434;Libya;#####;Odoo;15.0
###;12565;Libya;#####;Odoo;15.0
###;10040;Libya;#####;Odoo;15.0
###;10031;Libya;#####;Odoo;15.0
###;12588;Libya;#####;Odoo;15.0
###;10240;Libya;#####;Odoo;15.0
###;4664;Libya;#####;Odoo;15.0
###;9200;Libya;#####;Odoo;15.0
###;4455;Libya;#####;Odoo;15.0
###;12115;Libya;#####;Odoo;15.0
###;5567;Libya;#####;Odoo;15.0
###;60010;Libya;#####;Odoo;15.0
###;10068;Libya;#####;Odoo;15.0
###;12589;Libya;#####;Odoo;15.0
###;3749;Libya;#####;Odoo;15.0
###;9754;Libya;#####;Odoo;15.0
###;40029;Libya;#####;Odoo;15.0
###;45003;Libya;#####;Odoo;15.0
###;12211;Libya;#####;Odoo;15.0
###;9465;Libya;#####;Odoo;15.0
###;6134;Libya;#####;Odoo;15.0
###;12136;Libya;#####;Odoo;15.0
###;30110;Libya;#####;Odoo;15.0
###;9109;Libya;#####;Odoo;15.0
###;58378;Libya;#####;Odoo;15.0
###;12405;Libya;#####;Odoo;15.0
