IP;Port;Country;Organization;Title;Version
###;10005;Croatia;#####;Odoo;15.0
###;10008;Croatia;#####;Odoo;15.0
###;8069;Croatia;#####;Odoo;16.0
###;8072;Croatia;#####;Odoo;16.0
###;8069;Croatia;#####;Odoo;17.0
###;80;Others;#####;Odoo;16
###;8069;Others;#####;Odoo;16
###;8069;Others;#####;Odoo;16
###;8069;Others;#####;Odoo;16
###;80;Others;#####;Odoo;16
###;8069;Others;#####;Odoo;16.0
###;8069;Others;#####;Odoo;17.0
###;8069;Others;#####;Odoo;14.0
###;8072;Others;#####;Odoo;14.0
###;8069;Others;#####;Odoo;15.0
###;8069;Others;#####;Odoo;17.0
###;8069;Others;#####;Odoo;16.0
###;8069;Others;#####;Odoo;16.0
###;8069;Others;#####;Odoo;17.0
###;8069;Others;#####;Odoo;17.0
###;8069;Others;#####;Odoo;17.0
###;8069;Others;#####;Odoo;17.0
###;8077;Finland;#####;Home | Odoo Finland;12.0
###;8069;Finland;#####;OOLA Software | Expertos en Odoo, ERP y Aplicaciones Móviles.;12.0
###;8013;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;80;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8072;Finland;#####;Odoo;13.0
###;8072;Finland;#####; Home | Odoo PerlArt ;13.0
###;8069;Finland;#####;Odoo;13.0
###;8077;Finland;#####;Odoo;13.0
###;30027;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8077;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;30013;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8184;Finland;#####;Odoo;13.0
###;8084;Finland;#####;Odoo;13.0
###;8068;Finland;#####;Odoo;13.0
###;8072;Finland;#####;Odoo;13.0
###;2021;Finland;#####;Odoo;13.0
###;10013;Finland;#####;Odoo;13.0
###;9039;Finland;#####;Odoo;13.0
###;8070;Finland;#####;Odoo;13.0
###;12001;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8076;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;80;Finland;#####;Odoo;13.0
###;8108;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8082;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;13.0
###;8018;Finland;#####;Odoo;13.0
###;8016;Finland;#####;Odoo;13.0
###;8095;Finland;#####;Odoo;13.0
###;30013;Finland;#####;Odoo;13.0
###;8069;Finland;#####; Home | Odoo Perlaria ;13.0
###;8072;Finland;#####;Odoo;13.0
###;8069;Finland;#####; Home | Odoo Perlaria ;13.0
###;8072;Finland;#####;Odoo;13.0
###;8069;Finland;#####; Royal Electricidad | Royal Electricidad ;13.0
###;10013;Finland;#####;Odoo;13.0
###;8072;Finland;#####;Odoo;13.0
###;8069;Finland;#####;Odoo;14.0
###;8814;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8099;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;80;Finland;#####;Odoo;14.0
###;8068;Finland;#####;Odoo;14.0
###;8120;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8112;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;80;Finland;#####;Odoo;14.0
###;8012;Finland;#####;Odoo;14.0
###;8151;Finland;#####;Odoo;14.0
###;8091;Finland;#####;Odoo;14.0
###;11001;Finland;#####;Odoo;14.0
###;8123;Finland;#####;Odoo;14.0
###;8014;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8054;Finland;#####;Odoo;14.0
###;8082;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8070;Finland;#####;Odoo;14.0
###;8041;Finland;#####;Odoo;14.0
###;8087;Finland;#####;Odoo;14.0
###;8156;Finland;#####;Odoo;14.0
###;8098;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8090;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8062;Finland;#####;Odoo;14.0
###;8086;Finland;#####;Odoo;14.0
###;8133;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8073;Finland;#####;Odoo;14.0
###;9016;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8068;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8080;Finland;#####;Odoo;14.0
###;8067;Finland;#####;Odoo;14.0
###;8115;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8070;Finland;#####;Odoo;14.0
###;8106;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8065;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8073;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8169;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8066;Finland;#####;Odoo;14.0
###;8079;Finland;#####;Odoo;14.0
###;8063;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8060;Finland;#####;Odoo;14.0
###;8086;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8888;Finland;#####;Odoo;14.0
###;8179;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;12001;Finland;#####;Odoo;14.0
###;8099;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo asiantuntija | ERPWare Oy;14.0
###;80;Finland;#####;Odoo;14.0
###;8090;Finland;#####;Odoo;14.0
###;8107;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;11002;Finland;#####;Odoo;14.0
###;8090;Finland;#####;Odoo;14.0
###;8099;Finland;#####;Odoo;14.0
###;8070;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8071;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8018;Finland;#####;Odoo;14.0
###;8090;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8142;Finland;#####;Odoo;14.0
###;8182;Finland;#####;Odoo;14.0
###;11001;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8116;Finland;#####;Odoo;14.0
###;7011;Finland;#####;Odoo;14.0
###;8100;Finland;#####;Odoo;14.0
###;80;Finland;#####;Odoo;14.0
###;8182;Finland;#####;Odoo;14.0
###;11001;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8116;Finland;#####;Odoo;14.0
###;7011;Finland;#####;Odoo;14.0
###;8100;Finland;#####;Odoo;14.0
###;80;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;14.0
###;8111;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8072;Finland;#####;Odoo;14.0
###;8141;Finland;#####;Odoo;14.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8060;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8113;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8050;Finland;#####;Odoo;15.0
###;8075;Finland;#####;Odoo;15.0
###;8251;Finland;#####;Odoo;15.0
###;8123;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8107;Finland;#####;Odoo;15.0
###;8073;Finland;#####;Odoo;15.0
###;8060;Finland;#####;Odoo;15.0
###;11000;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;10012;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;9108;Finland;#####;Odoo;15.0
###;8062;Finland;#####;Odoo;15.0
###;8115;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8136;Finland;#####;Odoo;15.0
###;8079;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8080;Finland;#####;Odoo;15.0
###;8021;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8082;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8015;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8123;Finland;#####;Odoo;15.0
###;8001;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8079;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;9107;Finland;#####;Odoo;15.0
###;8015;Finland;#####;Odoo;15.0
###;8082;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;9112;Finland;#####;Odoo;15.0
###;8169;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8061;Finland;#####;Odoo;15.0
###;80;Finland;#####;Odoo;15.0
###;8071;Finland;#####;Odoo;15.0
###;8020;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8112;Finland;#####;Odoo;15.0
###;8070;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8080;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8070;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8080;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8069;Finland;#####;Odoo;15.0
###;8015;Finland;#####;Odoo;15.0
###;8030;Finland;#####;Odoo;15.0
###;8291;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8072;Finland;#####;Odoo;15.0
###;8079;Finland;#####;Odoo;15.0
###;11000;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8000;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8147;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8112;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8160;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;2222;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;8023;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8150;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;9080;Finland;#####;Odoo;16.0
###;80;Finland;#####;Odoo ERP | Accountancy Program | Production Planning;16.0
###;80;Finland;#####;Odoo;16.0
###;8066;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8007;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8010;Finland;#####;Odoo;16.0
###;8151;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8098;Finland;#####;Odoo;16.0
###;16010;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8102;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;80;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;80;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;8069;Finland;#####;Odoo;16.0
###;80;Finland;#####;Odoo;16.0
###;8072;Finland;#####;Odoo;16.0
###;9060;Finland;#####;Odoo;16.0
